Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type
West Eifel Volcanic Field,Germany,Maar(s),Eruption Dated,8300 BCE,Mediterranean and Western Asia,Western Europe,50.17,6.85,600,Foidite
Chaine des Puys,France,Lava dome(s),Eruption Dated,4040 BCE,Mediterranean and Western Asia,Western Europe,45.775,2.97,1464,Basalt / Picro-Basalt
Olot Volcanic Field,Spain,Pyroclastic cone(s),Evidence Credible,Unknown,Mediterranean and Western Asia,Western Europe,42.17,2.53,893,Trachybasalt / Tephrite Basanite
Calatrava Volcanic Field,Spain,Pyroclastic cone(s),Eruption Dated,3600 BCE,Mediterranean and Western Asia,Western Europe,38.87,-4.02,1117,Basalt / Picro-Basalt
Vulsini,Italy,Caldera,Eruption Observed,104 BCE,Mediterranean and Western Asia,Italy,42.6,11.93,800,Trachyte / Trachydacite
Colli Albani,Italy,Caldera,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Italy,41.73,12.7,949,Foidite
Campi Flegrei,Italy,Caldera,Eruption Observed,1538 CE,Mediterranean and Western Asia,Italy,40.827,14.139,458,Trachyte / Trachydacite
Vesuvius,Italy,Stratovolcano,Eruption Observed,1944 CE,Mediterranean and Western Asia,Italy,40.821,14.426,1281,Phono-tephrite /  Tephri-phonolite
Ischia,Italy,Complex,Eruption Observed,1302 CE,Mediterranean and Western Asia,Italy,40.73,13.897,789,Trachyte / Trachydacite
Palinuro,Italy,Submarine,Eruption Dated,8040 BCE,Mediterranean and Western Asia,Italy,39.48,14.83,-70,Phonolite
Stromboli,Italy,Stratovolcano,Eruption Observed,2020 CE,Mediterranean and Western Asia,Italy,38.789,15.213,924,Trachyandesite / Basaltic Trachyandesite
Panarea,Italy,Stratovolcano,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Italy,38.638,15.064,399,Andesite / Basaltic Andesite
Lipari,Italy,Stratovolcano(es),Eruption Dated,1230 CE,Mediterranean and Western Asia,Italy,38.49,14.933,590,Rhyolite
Vulcano,Italy,Stratovolcano(es),Eruption Observed,1890 CE,Mediterranean and Western Asia,Italy,38.404,14.962,500,Trachybasalt / Tephrite Basanite
Etna,Italy,Stratovolcano(es),Eruption Observed,2020 CE,Mediterranean and Western Asia,Italy,37.748,14.999,3295,Trachybasalt / Tephrite Basanite
Campi Flegrei del Mar di Sicilia,Italy,Submarine,Eruption Observed,1867 CE,Mediterranean and Western Asia,Italy,37.1,12.7,-8,Trachybasalt / Tephrite Basanite
Pantelleria,Italy,Shield,Eruption Observed,1891 CE,Mediterranean and Western Asia,Italy,36.77,12.02,836,Rhyolite
Marsili,Italy,Submarine,Eruption Dated,1050 BCE,Mediterranean and Western Asia,Italy,39.284,14.399,-779,
Methana,Greece,Lava dome(s),Eruption Observed,258 BCE,Mediterranean and Western Asia,Greece,37.615,23.336,760,Andesite / Basaltic Andesite
Milos,Greece,Stratovolcano(es),Eruption Dated,140 CE,Mediterranean and Western Asia,Greece,36.699,24.439,751,Rhyolite
