Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type
South Harghita Mountains,Romania,Lava dome(s),,,Mediterranean and Western Asia,Western Europe,46.13,25.88,1289,
Persani Mountains,Romania,Volcanic field,,,Mediterranean and Western Asia,Western Europe,45.982,25.339,623,
Apuseni Mountains,Romania,Volcanic field,,,Mediterranean and Western Asia,Western Europe,45.93,22.88,353,
Lucaret Basalts,Romania,Fissure vent,,,Mediterranean and Western Asia,Western Europe,45.826,21.69,190,
Bakony-Balaton Highland,Hungary,Volcanic field,,,Mediterranean and Western Asia,Western Europe,46.92,17.63,600,
Little Hungarian Plain,Hungary,Volcanic field,,,Mediterranean and Western Asia,Western Europe,47.192,17.2,433,
Nograd-Southern Slovakia,Hungary-Slovakia,Volcanic field,,,Mediterranean and Western Asia,Western Europe,48.159,19.79,720,
Central Slovakia,Slovakia,Volcanic field,,,Mediterranean and Western Asia,Western Europe,48.403,18.877,1009,
Bruntal Volcanic Field,Czech Republic,Volcanic field,,,Mediterranean and Western Asia,Western Europe,49.88,17.475,780,
Cheb Basin,Czech Republic,Volcanic field,,,Mediterranean and Western Asia,Western Europe,49.97,12.392,585,
East Eifel Volcanic Field,Germany,Maar(s),,,Mediterranean and Western Asia,Western Europe,50.4,7.325,588,
Rodderberg,Germany,Pyroclastic cone,,,Mediterranean and Western Asia,Western Europe,50.62,7.2,150,
Cofrentes,Spain,Volcanic field,,,Mediterranean and Western Asia,Western Europe,39.235,-1.064,514,
"Columbretes, Islas",Spain,Volcanic field,,,Mediterranean and Western Asia,Western Europe,39.896,0.686,33,
Amiata,Italy,Lava dome(s),,,Mediterranean and Western Asia,Italy,42.9,11.63,1738,
Radicofani,Italy,Volcanic remnant,,,Mediterranean and Western Asia,Italy,42.87,11.77,0,
Torre Alfina,Italy,Volcanic remnant,,,Mediterranean and Western Asia,Italy,42.78,11.92,0,
San Venanzo,Italy,Maar,,,Mediterranean and Western Asia,Italy,42.85,12.28,466,
Acquasparta,Italy,Volcanic field,,,Mediterranean and Western Asia,Italy,42.65,12.3,0,
Polino,Italy,Explosion crater(s),,,Mediterranean and Western Asia,Italy,42.57,12.82,0,
Cupaello,Italy,Pyroclastic cone,,,Mediterranean and Western Asia,Italy,42.43,12.93,650,
Oricola-Carsoli,Italy,Pyroclastic cone(s),,,Mediterranean and Western Asia,Italy,42.15,13.08,0,
Vico-Cimino Complex,Italy,Stratovolcano(es),,,Mediterranean and Western Asia,Italy,42.367,12.188,1053,
Sabatini Complex,Italy,Stratovolcano(es),,,Mediterranean and Western Asia,Italy,42.17,12.22,612,
"Ernici, Monti",Italy,Volcanic field,,,Mediterranean and Western Asia,Italy,41.58,13.33,0,
Roccamonfina,Italy,Stratovolcano,,,Mediterranean and Western Asia,Italy,41.3,13.93,1066,
"Vulture, Monte",Italy,Stratovolcano,,,Mediterranean and Western Asia,Italy,40.92,15.67,1330,
